CUSTOMER_ID,ORDER_ID,item1,item2,item3,item4,RECOMMENDATION 1,RECOMMENDATION 2,RECOMMENDATION 3
997177535,9351345556,Chicken Sub Combo,Ranch Dip - Regular,10 pc Spicy Wings Combo,,10 pc Grilled Wings Combo,8 pc Grilled Wings Combo,6 pc Grilled Wings Combo
345593831,3595377080,Regular Buffalo Fries,10 pc Spicy Wings,3 pc Crispy Strips Combo,,Large Buffalo Fries,15 pc Grilled Wings,Voodoo Fries - Regular
160955031,4071757785,Large Buffalo Fries,10 pc Spicy Wings,Ranch Dip - Regular,,Regular Buffalo Fries,15 pc Grilled Wings,Voodoo Fries - Regular
890671991,3931766769,6 pc Grilled Wings Combo,20 pc Grilled Wings,Fried Corn - Large,,8 pc Grilled Wings Combo,6 pc Spicy Wings Combo,10 pc Grilled Wings Combo
73989021,3739700809,Regular Buffalo Fries,20 pc Grilled Wings,Ranch Dip - Large,,Large Buffalo Fries,15 pc Grilled Wings,Voodoo Fries - Regular
965629024,1160484742,3 pc Crispy Strips Combo,Chicken Sub Combo,Chicken Sub,,6 pc Grilled Wings Combo,8 pc Grilled Wings Combo,6 pc Spicy Wings Combo
554043002,3507129215,10 pc Spicy Wings,Ranch Dip - Regular,Veggie Sticks Spicy,,Ranch Dip - Large,15 pc Grilled Wings,Honey Mustard Dip - Regular
908406400,2494847505,Ranch Dip - Regular,Add 5 Spicy Wings,8 pc Spicy Wings Combo,,Ranch Dip - Large,Blue Cheese Dip - Regular,4 pc Crispy Strips
680349080,9679605865,Fried Corn - Regular,Chicken Sub,Ranch Dip - Regular,,Ranch Dip - Large,Fried Corn - Large,Honey Mustard Dip - Regular
123249698,8053157007,20 pc Grilled Wings,Ranch Dip - Regular,Regular Buffalo Fries,,30 pc Family Grilled Wings,15 pc Spicy Wings,15 pc Grilled Wings
847896994,1472986083,8 pc Spicy Wings Combo,8 pc Grilled Wings Combo,Chicken Sub Combo,,6 pc Grilled Wings Combo,6 pc Spicy Wings Combo,10 pc Grilled Wings Combo
92774953,5119671888,15 pc Spicy Wings Combo,5 pc Crispy Strips Combo,Voodoo Fries - Regular,,6 pc Grilled Wings Combo,8 pc Grilled Wings Combo,10 pc Grilled Wings Combo
496794905,71920208,2 pc Crispy Strips,6 pc Grilled Wings Combo,10 pc Spicy Wings,,8 pc Spicy Wings Combo,10 pc Spicy Wings Combo,Dipping Sauce
432013277,6921313413,Ranch Dip - Regular,6 pc Spicy Wings Combo,Fried Corn - Large,,8 pc Grilled Wings Combo,10 pc Grilled Wings Combo,Ranch Dip - Large
330944162,1458039332,30 pc Family Grilled Wings,2 pc Crispy Strips,Ranch Dip - Regular,,Flavor Platter,20 pc Grilled Wings,30 pc Grilled Wings
665934240,8599974689,Honey Mustard Dip - Regular,Large Buffalo Fries,Chicken Sub,,Ranch Dip - Regular,Regular Buffalo Fries,Ranch Dip - Large
390525242,3813306858,3 Strips Lunch,10 pc Grilled Wings,5 pc Crispy Strips Combo,,6 pc Grilled Wings Combo,8 pc Grilled Wings Combo,10 pc Grilled Wings Combo
657511802,6103196605,Add 5 Grilled Wings,8 pc Grilled Wings Combo,20pc Spicy Feast Deal,,10 pc Spicy Wings Combo,15 pc Grilled Wings Combo,10 pc Mixed Wings Combo
488888638,1733472163,10 pc Grilled Wings,10 pc Spicy Wings,Ranch Dip - Regular,,15 pc Grilled Wings,15 pc Spicy Wings,20 pc Grilled Wings
890212956,9115730530,Chicken Sub,Ranch Dip - Regular,10 pc Grilled Wings Combo,,Ranch Dip - Large,Blue Cheese Dip - Regular,Honey Mustard Dip - Regular
285598610,6675277727,2 pc Crispy Strips,Ranch Dip - Large,10 pc Grilled Wings,,Blue Cheese Dip - Regular,Dipping Sauce,Blue Cheese Dip - Large
948060334,786744543,Honey Mustard Dip - Regular,20 pc Grilled Wings,Cheese Fries - Large,,Ranch Dip - Regular,Ranch Dip - Large,Blue Cheese Dip - Regular
560251967,3897845188,20pc Spicy Feast Deal,Ranch Dip - Regular,2 pc Crispy Strips,,Flavor Platter,30 pc Family Grilled Wings,15 pc Spicy Wings
985597830,4587042437,Regular Buffalo Fries,20 Oz Soda,Ranch Dip - Regular,,Large Buffalo Fries,32 Oz Soda,Voodoo Fries - Regular
890080832,3772126021,10 pc Spicy Wings,Ranch Dip - Regular,Chicken Sub Combo,,Ranch Dip - Large,15 pc Grilled Wings,Honey Mustard Dip - Regular
475221027,9876633715,2 pc Crispy Strips,6 pc Mixed Wings Combo,8 pc Grilled Wings Combo,,10 pc Grilled Wings Combo,Dipping Sauce,8 pc Spicy Wings Combo
322821945,5581851889,Voodoo Fries - Regular,Ranch Dip - Regular,Chicken Sub,,Regular Buffalo Fries,Large Buffalo Fries,Ranch Dip - Large
577481561,2603279335,4 pc Crispy Strips,15 pc Grilled Wings,Fried Corn - Regular,,15 pc Spicy Wings,20 pc Grilled Wings,30 pc Grilled Wings
27439257,6369834776,Fried Corn - Large,8 pc Spicy Wings Combo,5 pc Crispy Strips Combo,,6 pc Grilled Wings Combo,Fried Corn - Regular,10 pc Mixed Wings Combo
593885644,8063821668,15 pc Mixed Wings Combo,Triple Chocolate Cake,Chicken Sub,,10 pc Grilled Wings Combo,30 pc Family Grilled Wings,24 pc Family Grilled Wings
354914217,2931287031,Ranch Dip - Regular,Add 5 Spicy Wings,10 pc Spicy Wings,,Ranch Dip - Large,Blue Cheese Dip - Regular,4 pc Crispy Strips
798880002,5434557025,6 pc Spicy Wings Combo,8 pc Grilled Wings Combo,7 pc Crispy Strips,,6 pc Grilled Wings Combo,10 pc Grilled Wings Combo,Chicken Sub Combo
647112527,8268916448,6 pc Spicy Wings Combo,50 pc Grilled Wings,Ranch Dip - Regular,,6 pc Grilled Wings Combo,8 pc Grilled Wings Combo,10 pc Grilled Wings Combo
607843353,8140769629,Ranch Dip - Regular,10 pc Mixed Wings,Regular Buffalo Fries,,Ranch Dip - Large,Blue Cheese Dip - Regular,20 pc Grilled Wings
370391246,3474583684,Cheese Fries - Large,20 pc Mixed Wings,Fried Corn - Large,,Regular Buffalo Fries,Large Buffalo Fries,Voodoo Fries - Regular
303385308,3461378541,6 pc Spicy Wings Combo,Ranch Dip - Regular,Regular Buffalo Fries,,6 pc Grilled Wings Combo,8 pc Grilled Wings Combo,10 pc Grilled Wings Combo
240482090,8619245253,Ranch Dip - Large,10 pc Spicy Wings,Fried Corn - Large,,Ranch Dip - Regular,15 pc Grilled Wings,Blue Cheese Dip - Regular
479278166,9425701393,2 pc Crispy Strips,3 pc Crispy Strips Combo,Ranch Dip - Regular,,8 pc Grilled Wings Combo,8 pc Spicy Wings Combo,Dipping Sauce
481060039,9376327890,32 Oz Soda,20pc Spicy Feast Deal,20 Oz Soda,,Flavor Platter,30 pc Family Mixed Wings,30 pc Family Spicy Wings
792223703,4182647480,Ranch Dip - Large,Add 5 Grilled Wings,15 pc Grilled Wings,,Ranch Dip - Regular,Blue Cheese Dip - Regular,30 pc Crispy Strips
197588117,4003611924,10 pc Grilled Wings Combo,Add 5 Spicy Wings,Ranch Dip - Regular,,8 pc Grilled Wings Combo,6 pc Grilled Wings Combo,6 pc Spicy Wings Combo
810719895,9664258299,Large Buffalo Fries,Ranch Dip - Large,Voodoo Fries - Large,,Regular Buffalo Fries,Blue Cheese Dip - Regular,Voodoo Fries - Regular
424704673,6513020303,Veggie Sticks Spicy,20pc Spicy Feast Deal,20 Oz Soda,,Flavor Platter,25 pc Game Day Pack,Large Veggie Sticks Spicy
898392104,3038848982,6 pc Spicy Wings Combo,2 pc Crispy Strips,Large Buffalo Fries,,8 pc Grilled Wings Combo,6 pc Grilled Wings Combo,10 pc Grilled Wings Combo
999339497,8376685289,Chicken Sub Combo,Blue Cheese Dip - Regular,Veggie Sticks Spicy,,6 pc Grilled Wings Combo,8 pc Grilled Wings Combo,10 pc Grilled Wings Combo
671933285,5557489897,Ranch Dip - Regular,2 pc Crispy Strips,10 pc Grilled Wings,,Ranch Dip - Large,Blue Cheese Dip - Regular,7 pc Crispy Strips
483400502,5074642260,10 pc Mixed Wings Combo,15 pc Grilled Wings,Ranch Dip - Regular,,6 pc Grilled Wings Combo,10 pc Grilled Wings Combo,8 pc Grilled Wings Combo
556772768,8463957236,2 pc Crispy Strips,32 Oz Soda,10 pc Spicy Wings Combo,,20 Oz Soda,Dipping Sauce,15 pc Spicy Wings Combo
914158493,8529031849,Large Buffalo Fries,15 pc Crispy Strips,Carrot Sticks,,Regular Buffalo Fries,Voodoo Fries - Regular,7 pc Crispy Strips
24561343,2360269841,Ranch Dip - Regular,Chicken Sub,Large Buffalo Fries,,Blue Cheese Dip - Regular,Ranch Dip - Large,7 pc Crispy Strips
271491431,6957515655,Ranch Dip - Large,Regular Buffalo Fries,6 pc Grilled Wings Combo,,Ranch Dip - Regular,Blue Cheese Dip - Regular,Voodoo Fries - Regular
766490388,560924059,10 pc Spicy Wings,Regular Buffalo Fries,Fried Corn - Large,,15 pc Grilled Wings,20 pc Grilled Wings,Voodoo Fries - Regular
740886021,7557215476,6 pc Grilled Wings Combo,Ranch Dip - Regular,3 pc Crispy Strips Combo,,8 pc Grilled Wings Combo,10 pc Grilled Wings Combo,6 pc Spicy Wings Combo
806107795,7576879386,Chicken Sub,Chicken Sub Combo,10 pc Spicy Wings,,10 pc Grilled Wings Combo,Honey Mustard Dip - Regular,15 pc Grilled Wings Combo
844564898,2024803542,6 pc Strips Meal for 2,5 pc Crispy Strips Combo,Ranch Dip - Large,,6 pc Spicy Wings Combo,8 pc Spicy Wings Combo,7 pc Crispy Strips
903058196,958258271,20 Oz Soda,Regular Buffalo Fries,Chicken Sub Combo,,Large Buffalo Fries,32 Oz Soda,Voodoo Fries - Regular
798400642,1115322441,20pc Spicy Feast Deal,Blue Cheese Dip - Regular,10 pc Spicy Wings,,Ranch Dip - Large,Flavor Platter,30 pc Family Grilled Wings
521638597,8289961904,Ranch Dip - Large,20 pc Grilled Wings,Flavor Platter,,Ranch Dip - Regular,Blue Cheese Dip - Regular,15 pc Grilled Wings
209881945,8903503849,Carrot Sticks,30 pc Spicy Wings,Veggie Sticks,,Order Memo Item,Order Blankline 1,Celery Sticks
313686490,4696392549,10 pc Spicy Wings,Regular Buffalo Fries,8 pc Grilled Wings Combo,,15 pc Grilled Wings,20 pc Grilled Wings,Voodoo Fries - Regular
92570317,8201462153,Add 5 Grilled Wings,Large Buffalo Fries,8 pc Grilled Wings Combo,,Voodoo Fries - Regular,Voodoo Fries - Large,Cheese Fries - Regular
942411970,1106412992,Fried Corn - Large,2 pc Crispy Strips,Flavor Platter,,20pc Spicy Feast Deal,Fried Corn - Regular,Dipping Sauce
752479101,6017584435,6 pc Grilled Wings Combo,10 pc Grilled Wings Combo,Fried Corn - Large,,8 pc Grilled Wings Combo,6 pc Spicy Wings Combo,Fried Corn - Regular
659566615,7561380164,3 pc Crispy Strips Combo,30 pc Family Grilled Wings,15 pc Spicy Wings,,6 pc Grilled Wings Combo,8 pc Grilled Wings Combo,10 pc Grilled Wings Combo
552054707,8313745366,10 pc Spicy Wings,4 pc Crispy Strips,Ranch Dip - Regular,,15 pc Grilled Wings,15 pc Spicy Wings,20 pc Grilled Wings
641732217,7412481937,20 pc Mixed Wings,Voodoo Fries - Regular,Regular Buffalo Fries,,Large Buffalo Fries,15 pc Grilled Wings,20 pc Grilled Wings
782687122,9404853975,20pc Spicy Feast Deal,Large Buffalo Fries,Ranch Dip - Regular,,Flavor Platter,30 pc Family Grilled Wings,15 pc Spicy Wings
711176991,5843303173,20pc Spicy Feast Deal,Fried Corn - Large,Ranch Dip - Large,,Fried Corn - Regular,Flavor Platter,30 pc Family Grilled Wings
113063488,5634013434,Large Veggie Sticks Spicy,50 pc Mixed Wings,Ranch Dip - Large,,25 pc Game Day Pack,Veggie Sticks Spicy,6 pc Strips Meal for 2
148437727,3900783085,10 pc Spicy Wings,Ranch Dip - Regular,20 Oz Soda,,Ranch Dip - Large,15 pc Grilled Wings,20 pc Grilled Wings
517545136,3607320592,Fried Corn - Large,Ranch Dip - Large,40 pc Family Mixed Wings,,Ranch Dip - Regular,Fried Corn - Regular,Blue Cheese Dip - Regular
251340705,1580421216,5 pc Crispy Strips Combo,Cheese Fries - Large,15 pc Spicy Wings,,10 pc Grilled Wings Combo,6 pc Grilled Wings Combo,8 pc Grilled Wings Combo
830737958,3428541028,Veggie Sticks Spicy,10 pc Grilled Wings Combo,Fried Corn - Regular,,15 pc Grilled Wings Combo,25 pc Game Day Pack,8 pc Mixed Wings Combo
479488590,2093272018,Cheese Fries - Large,Ranch Dip - Regular,15 pc Grilled Wings,,Regular Buffalo Fries,Large Buffalo Fries,Ranch Dip - Large
104316436,5140584474,15 pc Grilled Wings Combo,7 pc Crispy Strips,Fried Corn - Large,,8 pc Grilled Wings Combo,6 pc Grilled Wings Combo,10 pc Grilled Wings Combo
796657195,9182095124,Large Veggie Sticks Spicy,10 pc Grilled Wings Combo,Ranch Dip - Regular,,25 pc Game Day Pack,15 pc Grilled Wings Combo,Veggie Sticks Spicy
928737683,9008976760,Flavor Platter,2 pc Crispy Strips,Regular Buffalo Fries,,20pc Spicy Feast Deal,30 pc Family Grilled Wings,40 pc Family Grilled Wings
888121558,2610885654,Ranch Dip - Large,20pc Spicy Feast Deal,Large Veggie Sticks Spicy,,Ranch Dip - Regular,Flavor Platter,Blue Cheese Dip - Regular
539034370,6556987230,Ranch Dip - Regular,6 pc Grilled Wings Combo,3 pc Crispy Strips Combo,,Ranch Dip - Large,Blue Cheese Dip - Regular,8 pc Spicy Wings Combo
644139747,6095674121,20 Oz Soda,20pc Spicy Feast Deal,Cheese Dip - Medium,,Flavor Platter,32 Oz Soda,30 pc Family Spicy Wings
828846329,8239324284,Regular Buffalo Fries,10 pc Spicy Wings,4 pc Crispy Strips,,Large Buffalo Fries,15 pc Grilled Wings,Voodoo Fries - Regular
882876751,2235489605,Ranch Dip - Regular,Chicken Sub Combo,Chicken Sub,,10 pc Grilled Wings Combo,Ranch Dip - Large,Blue Cheese Dip - Regular
800353976,420263296,6 pc Grilled Wings Combo,Regular Buffalo Fries,20 pc Grilled Wings,,8 pc Grilled Wings Combo,6 pc Spicy Wings Combo,10 pc Grilled Wings Combo
950142020,2853107028,15 pc Grilled Wings Combo,10 pc Spicy Wings,Regular Buffalo Fries,,6 pc Grilled Wings Combo,8 pc Grilled Wings Combo,10 pc Grilled Wings Combo
167486393,2882485535,6 pc Spicy Wings Combo,Chicken Sub,Ranch Dip - Regular,,6 pc Grilled Wings Combo,8 pc Grilled Wings Combo,10 pc Grilled Wings Combo
997157436,9388852439,6 pc Grilled Wings Combo,Voodoo Fries - Large,Ranch Dip - Regular,,10 pc Grilled Wings Combo,8 pc Grilled Wings Combo,6 pc Spicy Wings Combo
486934836,3663281732,24 pc Family Grilled Wings,Add 5 Spicy Wings,Ranch Dip - Regular,,Flavor Platter,15 pc Grilled Wings,20 pc Grilled Wings
866406991,3205313571,6 pc Grilled Wings Combo,10 pc Grilled Wings Combo,Ranch Dip - Regular,,8 pc Grilled Wings Combo,6 pc Spicy Wings Combo,10 pc Spicy Wings Combo
804113173,8488904198,Ranch Dip - Regular,15 pc Grilled Wings,7 pc Crispy Strips,,Ranch Dip - Large,Blue Cheese Dip - Regular,Honey Mustard Dip - Regular
956667181,8833682485,Flavor Platter,8 pc Spicy Wings Combo,Ranch Dip - Large,,20pc Spicy Feast Deal,6 pc Grilled Wings Combo,30 pc Family Grilled Wings
201904809,507309741,5 pc Crispy Strips Combo,8 pc Spicy Wings Combo,Carrot Sticks,,8 pc Grilled Wings Combo,6 pc Grilled Wings Combo,10 pc Grilled Wings Combo
805499454,1420458152,Regular Buffalo Fries,Ranch Dip - Regular,10 pc Grilled Wings Combo,,Large Buffalo Fries,Ranch Dip - Large,Honey Mustard Dip - Regular
75389782,1400514220,Ranch Dip - Large,10 pc Grilled Wings,Large Buffalo Fries,,Ranch Dip - Regular,Blue Cheese Dip - Regular,20 pc Grilled Wings
110659103,8005800972,Veggie Sticks Spicy,2 pc Crispy Strips,8 pc Grilled Wings Combo,,25 pc Game Day Pack,Large Veggie Sticks Spicy,6 pc Strips Meal for 2
801915049,9195418958,Ranch Dip - Regular,8 pc Mixed Wings Combo,Chicken Sub Combo,,6 pc Grilled Wings Combo,10 pc Grilled Wings Combo,Ranch Dip - Large
807524346,7616149255,Chicken Sub Combo,10 pc Grilled Wings Combo,Ranch Dip - Regular,,8 pc Grilled Wings Combo,6 pc Grilled Wings Combo,6 pc Spicy Wings Combo
652586081,4743781689,Fried Corn - Regular,10 pc Spicy Wings,Ranch Dip - Regular,,15 pc Grilled Wings,Fried Corn - Large,20 pc Grilled Wings
851583581,5459634450,Ranch Dip - Regular,30 pc Spicy Wings,Cheese Fries - Regular,,Ranch Dip - Large,Blue Cheese Dip - Regular,Honey Mustard Dip - Regular
628026677,9761469695,30 pc Grilled Wings,Ranch Dip - Large,Large Buffalo Fries,,15 pc Grilled Wings,30 pc Family Grilled Wings,20 pc Grilled Wings
68440506,8026870762,15 pc Spicy Wings Combo,Regular Buffalo Fries,Ranch Dip - Regular,,10 pc Grilled Wings Combo,8 pc Grilled Wings Combo,6 pc Spicy Wings Combo
628387996,5519604346,8 pc Grilled Wings Combo,2 pc Crispy Strips,10 pc Grilled Wings Combo,,6 pc Grilled Wings Combo,10 pc Spicy Wings Combo,6 pc Spicy Wings Combo
754283787,3443149720,10 pc Grilled Wings,Ranch Dip - Regular,Large Buffalo Fries,,15 pc Grilled Wings,Ranch Dip - Large,20 pc Grilled Wings
567878398,5695784239,20pc Spicy Feast Deal,Ranch Dip - Regular,Veggie Sticks Spicy,,Flavor Platter,15 pc Spicy Wings,30 pc Family Grilled Wings
667834511,6539979064,6 pc Spicy Wings Combo,6 pc Grilled Wings Combo,Ranch Dip - Regular,,8 pc Grilled Wings Combo,10 pc Grilled Wings Combo,8 pc Spicy Wings Combo
459429066,2100548803,15 pc Grilled Wings,Ranch Dip - Large,10 pc Grilled Wings Combo,,20 pc Grilled Wings,30 pc Grilled Wings,30 pc Spicy Wings
684058871,9419859109,Large Fruit Punch,15 pc Crispy Strips,5 pc Crispy Strips Combo,,Ranch Dip - Large,Large Buffalo Fries,32 Oz Soda
46262059,7269411598,Regular Buffalo Fries,20 Oz Soda,7 pc Crispy Strips,,Large Buffalo Fries,32 Oz Soda,Voodoo Fries - Regular
398483308,1617158734,Regular Buffalo Fries,Fried Corn - Regular,Ranch Dip - Large,,Large Buffalo Fries,Fried Corn - Large,Voodoo Fries - Regular
344143914,7560129921,Ranch Dip - Regular,10 pc Grilled Wings Combo,5 pc Crispy Strips Combo,,Ranch Dip - Large,Blue Cheese Dip - Regular,Honey Mustard Dip - Regular
627164221,3704712191,30 pc Family Grilled Wings,Fried Corn - Large,2 pc Crispy Strips,,Flavor Platter,Fried Corn - Regular,20 pc Grilled Wings
365857463,4136734912,Cheese Dip - Regular,3 pc Crispy Strips Combo,Regular Buffalo Fries,,8 pc Spicy Wings Combo,Cheese Dip - Medium,8 pc Mixed Wings Combo
5783045,2250143111,Fried Corn - Regular,10 pc Spicy Wings,20 Oz Soda,,15 pc Grilled Wings,Fried Corn - Large,20 pc Grilled Wings
346536705,3302991162,Fried Corn - Large,30 pc Grilled Wings,Ranch Dip - Regular,,Fried Corn - Regular,20 pc Grilled Wings,Cheese Dip - Large
